attraction_name,Breathtaking Views,Must Visits,Panaromic Photography,Strenuous Hikes,Easy Trails,Gorgeous Sunsets,Stunning Waterfalls,Serene Lakes,Wildlife,Stargazing,Shuttle Bus,Organized Tours,Permit Restrictions,Water Advice,Rock Climbing,Climbing Advice,General Advice,Hiking Advice
El Capitan,0.3411767882352934,0.1718785644023404,0.08705964941176454,0.016488032608367283,0.03597309587150849,0.07102494252935714,0.05882475578231552,0.08536993007669931,0.04996689963674768,0.11420176764681858,0.04707570530602066,0.033305462945266345,0.007903380865889691,0.07765134031396459,0.032573109529260263,0.5979384484199505,0.10325603991207692,0.03919526716633624
Glacier Point,0.7351616247008715,0.27413670070516866,0.08279385187032262,0.039012088528632055,0.09811720357772123,0.21568589786678613,0.14314456030690215,0.22829840300073706,0.2186630939028227,0.1517465487361035,0.18258599819398952,0.07702344764788421,0.018694456819171496,0.07682174511708104,0.07274712505137541,0.1341811768476807,0.3413021608121093,0.12722655585601175
Half Dome,0.44048665247610747,0.1669688092632612,0.08948822328409928,0.19095229695828267,0.05489885714977906,0.4164235185689504,0.1616183372039584,0.07750510239072912,0.17860028016317012,0.23016033994915236,0.030428018897831473,0.02743519115066997,0.3904233775480974,0.26064886560788225,0.257209791548441,0.416166200418424,0.21545210106643745,0.3119525002303737
Mariposa Grove of Giant Sequoias,0.0900846246579792,0.272096809692852,0.055866810055864774,0.06629269494940138,0.15940662558073138,0.3370269650380746,0.06843692759932697,0.1343957725712924,0.2227024602439883,0.12193580625500207,0.2584222560751412,0.6549928834693142,0.026491823668978235,0.0754291171146413,0.11824015296447243,0.10871017835300174,0.28993585356252705,0.18238690178445668
Mist Trail,0.41942874682129594,0.112166543596646,0.04800090399999989,0.6018154600348007,0.14968692889304794,0.7443328753400001,0.6605730397620344,0.025730504318400165,0.1642259039417062,0.0945520220134163,0.07201168358797765,0.011989739370628279,0.129339146677842,0.3543016339007002,0.2910033896656772,0.3136270244231025,0.25218105829737736,0.4091419053723765
Tioga Pass,0.4500649523887087,0.16782375783053266,0.07911887029831255,0.03918256800650925,0.034504882204473654,0.08133142417288948,0.0492877634723189,0.7542976834473791,0.14323995913154686,0.12875749303480352,0.005205255123680292,0.019140141225961117,0.010732040398349288,0.059667705529401226,0.08634915944425998,0.16542289058384205,0.1342412768424485,0.12205482408348373
Tunnel View,0.7629377045075137,0.20211786128873116,0.17529280300500721,0.01331469698825511,0.024065061600874686,0.053276205680443285,0.16861938538300084,0.12291276192021207,0.053009527411432805,0.14324139230418503,0.06179652576199491,0.05477431229222873,0.006796537484212605,0.016697016857784734,0.04243616427046822,0.09505417746164908,0.38926544117563305,0.0639236012505151
Vernal Fall,0.3994757255244751,0.11467915572657952,0.048077826923076286,0.5376191931775524,0.14332789158740422,0.6545082918144153,0.7307715322028645,0.02048399455332449,0.128042761406164,0.054609623463661196,0.05158448801964474,0.008413463510950837,0.0992744051677032,0.4007268636760993,0.2140246919188112,0.2686210567927618,0.20363765223060615,0.3090202567685106
Yosemite Falls,0.3424504575498568,0.2246413710453596,0.0769239230769214,0.11537658679291804,0.2876179634926414,0.3173883552048475,0.7954618822965612,0.04272005654444922,0.1275435205209703,0.11655905463134371,0.0820751382755409,0.02919456637818318,0.05257877612092342,0.34359379315545574,0.1100081182881551,0.2220374851428365,0.20096004452498897,0.17098217457285841
Yosemite Valley,0.3239440140845062,0.3769543899882841,0.07746563380281651,0.05197866421613805,0.09333832517894662,0.21914534839186686,0.27820251496640397,0.2549759922640699,0.3111827512448501,0.349499641702557,0.22361220768149975,0.09693090144431077,0.02844916521605721,0.14789324760468261,0.1274216982086336,0.23322005514544522,0.34298634289854696,0.19670380918370817
